epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1828.74,0.98335,4.18663,1.21922,0.26659,0.10737,0.03483,0.02753,0.83098,3.13041,1.09995,0.00333008,0.00333008,0.00333008
2,6385.06,0.9711,3.21408,1.17453,0.32284,0.1324,0.05735,0.04351,0.95652,2.96361,1.16663,0.0064985,0.0064985,0.0064985
3,8276.2,1.08959,3.15026,1.23708,0.22071,0.12597,0.04864,0.0355,1.10817,3.07962,1.26355,0.00950191,0.00950191,0.00950191
4,10316.6,1.15909,3.18834,1.27891,0.33693,0.14325,0.07185,0.05196,1.0547,2.79045,1.20743,0.0092575,0.0092575,0.0092575
5,14021.6,1.09773,3.01141,1.2439,0.27511,0.18633,0.09303,0.07033,0.95696,2.65303,1.16361,0.00901,0.00901,0.00901
6,16130.8,1.05227,2.86684,1.21369,0.28028,0.21971,0.11065,0.08377,0.90552,2.56649,1.12376,0.0087625,0.0087625,0.0087625
7,18159.9,1.01136,2.75087,1.18615,0.27452,0.25174,0.13813,0.11146,0.85785,2.44585,1.09667,0.008515,0.008515,0.008515
8,19393.4,0.96422,2.65245,1.16755,0.31376,0.25565,0.17004,0.13492,0.83971,2.29168,1.08128,0.0082675,0.0082675,0.0082675
9,21751.9,0.94939,2.56309,1.1547,0.35246,0.27097,0.19291,0.15556,0.79647,2.19593,1.05118,0.00802,0.00802,0.00802
10,22675.2,0.92311,2.48368,1.14064,0.37871,0.29289,0.22387,0.1855,0.76477,2.12614,1.03901,0.0077725,0.0077725,0.0077725
11,25918.8,0.90704,2.4275,1.13023,0.36791,0.28601,0.24895,0.20879,0.73648,2.03077,1.01579,0.007525,0.007525,0.007525
12,28472.5,0.88323,2.36279,1.12059,0.32977,0.33334,0.26723,0.22193,0.72479,1.98634,1.01354,0.0072775,0.0072775,0.0072775
13,31131,0.86317,2.28696,1.10914,0.33249,0.35236,0.29593,0.24696,0.71157,1.92191,1.00699,0.00703,0.00703,0.00703
14,32787.2,0.85794,2.22856,1.10361,0.36523,0.37497,0.31182,0.26233,0.70435,1.88353,1.00096,0.0067825,0.0067825,0.0067825
15,35975.8,0.83202,2.17193,1.09528,0.36178,0.39565,0.34887,0.29527,0.68619,1.77851,0.9932,0.006535,0.006535,0.006535
16,37150.8,0.82874,2.12051,1.08748,0.38839,0.40042,0.37238,0.31881,0.67491,1.74295,0.98772,0.0062875,0.0062875,0.0062875
17,38861.5,0.819,2.05221,1.08064,0.44805,0.38732,0.39267,0.3348,0.66923,1.66847,0.98518,0.00604,0.00604,0.00604
18,40325.5,0.79872,1.99996,1.07374,0.45115,0.41293,0.41013,0.34964,0.65656,1.62567,0.9744,0.0057925,0.0057925,0.0057925
19,43385.1,0.78101,1.9447,1.06804,0.48811,0.41449,0.43137,0.37001,0.64194,1.56365,0.96772,0.005545,0.005545,0.005545
20,44989.1,0.78193,1.90139,1.06209,0.51518,0.44086,0.45306,0.39017,0.6292,1.52552,0.96023,0.0052975,0.0052975,0.0052975
21,49810.4,0.76272,1.85766,1.05519,0.48935,0.45289,0.46535,0.40176,0.617,1.47815,0.95575,0.00505,0.00505,0.00505
22,55630.2,0.75496,1.79562,1.05226,0.53396,0.44336,0.48652,0.4229,0.61246,1.43591,0.95306,0.0048025,0.0048025,0.0048025
23,57676.7,0.74404,1.74281,1.04344,0.5826,0.4619,0.50026,0.43298,0.60712,1.39564,0.94898,0.004555,0.004555,0.004555
24,58857.5,0.73834,1.70172,1.03967,0.61922,0.45884,0.52819,0.46011,0.60359,1.34543,0.94807,0.0043075,0.0043075,0.0043075
25,63139.3,0.72955,1.65393,1.03615,0.58339,0.48438,0.54029,0.47484,0.59057,1.30581,0.94164,0.00406,0.00406,0.00406
26,64971,0.71874,1.60278,1.03121,0.62242,0.48821,0.55251,0.48037,0.59025,1.28632,0.94303,0.0038125,0.0038125,0.0038125
27,66989.8,0.70517,1.56146,1.0258,0.63067,0.51018,0.56871,0.49509,0.58536,1.2558,0.94141,0.003565,0.003565,0.003565
28,69548.1,0.70154,1.52265,1.02468,0.65794,0.50457,0.57932,0.50614,0.58006,1.22606,0.93723,0.0033175,0.0033175,0.0033175
